Device_Type,Brand,Model,Age_Years,Condition_Label,Condition_Score,Screen_Damage,Body_Damage,Battery_Health,Original_Price,Depreciation_Rate,Current_Market_Price,Resale_Price,Exchange_Price,Repair_Cost,Refurbished_Price,Demand_Score,Best_Action,Profit_if_Repaired,OLX_Resale_Price,Cashify_Exchange_Price,Price_Variation_%
Laptop,Acer,Aspire 7,5,Poor,47,Yes,Yes,53,70000,0.14,32929,15476,13532,6108,19345,83,Resell,-2239,14105,12854,-8.86
Laptop,Acer,Aspire 7,5,Poor,45,Yes,Yes,86,70000,0.12,36941,16623,14424,5734,20778,43,Resell,-1579,18246,13669,9.76
Laptop,Acer,Aspire 7,4,Poor,45,Yes,Yes,40,70000,0.15,36540,16443,13077,3828,20553,80,Resell,282,17569,11357,6.85
Laptop,Acer,Aspire 7,5,Poor,45,Yes,Yes,85,70000,0.12,36941,16623,13153,6817,20778,92,Resell,-2662,15910,13633,-4.29
Laptop,Acer,Aspire 7,1,Poor,44,Yes,Yes,46,70000,0.12,61600,27104,22711,5171,33880,47,Resell,1605,26374,19899,-2.69
Laptop,Acer,Aspire 7,6,Poor,43,Yes,Yes,92,70000,0.26,11494,4942,4288,5221,6177,51,Resell,-3986,5319,4239,7.63
Laptop,Acer,Aspire 7,2,Poor,42,Yes,Yes,49,70000,0.22,42588,17886,14104,5870,22357,67,Resell,-1399,18215,12241,1.84
Laptop,Acer,Aspire 7,3,Poor,39,Yes,Yes,92,70000,0.15,42988,16765,11913,3552,20956,92,Resell,639,18037,11538,7.59
Laptop,Acer,Aspire 7,2,Poor,39,Yes,Yes,50,70000,0.12,54208,21141,17210,5819,26426,71,Resell,-534,19394,16289,-8.26
Laptop,Acer,Aspire 7,2,Poor,39,Yes,Yes,100,70000,0.24,40432,15768,11397,4310,19710,88,Resell,-368,16100,9943,2.11
Laptop,Acer,Aspire 7,6,Poor,39,Yes,Yes,86,70000,0.14,28319,11044,7995,6306,13805,73,Resell,-3545,10961,7082,-0.75
Laptop,Acer,Aspire 7,1,Poor,38,Yes,Yes,51,70000,0.17,58100,22078,16621,9731,27597,62,Resell,-4212,24228,14138,9.74
Laptop,Acer,Aspire 7,2,Poor,35,Yes,Yes,51,70000,0.25,39375,13781,9767,7855,17226,88,Resell,-4410,13879,9988,0.71
Laptop,Acer,Aspire 7,1,Poor,34,Yes,Yes,88,70000,0.17,58100,19754,16721,9094,24692,43,Resell,-4156,21330,15318,7.98
Laptop,Acer,Aspire 7,6,Poor,33,Yes,Yes,71,70000,0.16,24590,8114,6111,4609,10142,85,Resell,-2581,8002,5454,-1.38
Laptop,Asus,ROG Strix,1,Good,95,No,No,80,110000,0.2,88000,83600,74315,0,104500,61,Repair,20900,91743,77146,9.74
Laptop,Asus,ROG Strix,3,Good,95,No,No,70,110000,0.19,58458,55535,44128,0,69418,89,Repair,13883,60084,37620,8.19
Laptop,Asus,ROG Strix,3,Good,94,No,No,93,110000,0.25,46406,43621,32743,0,54526,59,Repair,10905,45994,28016,5.44
Laptop,Asus,ROG Strix,4,Good,93,No,No,43,110000,0.26,32985,30676,27493,0,38345,60,Repair,7669,31216,27097,1.76
Laptop,Asus,ROG Strix,5,Good,93,No,No,73,110000,0.1,64953,60406,43619,0,75507,57,Repair,15101,65832,38089,8.98
Laptop,Asus,ROG Strix,6,Good,91,No,No,70,110000,0.14,44502,40496,34543,0,50620,55,Repair,10124,43875,34725,8.34
Laptop,Asus,ROG Strix,3,Good,91,No,No,51,110000,0.29,39370,35826,28128,0,44782,45,Repair,8956,33526,27632,-6.42
Laptop,Asus,ROG Strix,2,Good,91,No,No,46,110000,0.26,60236,54814,43006,0,68517,49,Repair,13703,56019,44323,2.2
Laptop,Asus,ROG Strix,2,Good,89,No,No,69,110000,0.29,55451,49351,35679,0,61688,76,Repair,12337,49070,35476,-0.57
Laptop,Asus,ROG Strix,6,Good,89,No,No,100,110000,0.11,54667,48653,38724,0,60816,94,Repair,12163,50204,36976,3.19
Laptop,Asus,ROG Strix,5,Good,88,No,No,92,110000,0.2,36044,31718,24532,0,39647,90,Repair,7929,29947,22117,-5.58
Laptop,Asus,ROG Strix,3,Good,88,No,No,64,110000,0.12,74961,65965,53205,0,82456,53,Repair,16491,69724,47249,5.7
Laptop,Asus,ROG Strix,5,Good,87,No,No,58,110000,0.11,61424,53438,45191,0,66797,40,Repair,13359,52676,44151,-1.43
Laptop,Asus,ROG Strix,4,Good,87,No,No,75,110000,0.21,42845,37275,27701,0,46593,62,Repair,9318,34960,27597,-6.21
Laptop,Asus,ROG Strix,1,Good,87,No,No,72,110000,0.17,91300,79431,62330,0,99288,91,Repair,19857,86877,64804,9.37
Laptop,Asus,ROG Strix,3,Good,87,No,No,70,110000,0.19,58458,50858,43241,0,63572,59,Repair,12714,45773,43451,-10.0
Laptop,Asus,ROG Strix,6,Good,86,No,No,86,110000,0.24,21196,18228,12849,0,22785,46,Repair,4557,16508,10974,-9.44
Laptop,Asus,ROG Strix,2,Good,86,No,No,77,110000,0.17,75779,65169,49479,0,81461,55,Repair,16292,68759,46721,5.51
Laptop,Asus,ROG Strix,1,Good,85,No,No,95,110000,0.15,93500,79475,70072,0,99343,61,Repair,19868,78491,69004,-1.24
Laptop,Asus,ROG Strix,5,Good,84,No,No,85,110000,0.2,36044,30276,21650,0,37845,78,Repair,7569,32068,21259,5.92
Laptop,Asus,ROG Strix,6,Good,80,No,No,94,110000,0.17,35963,28770,24714,0,35962,47,Repair,7192,27532,22615,-4.3
Laptop,Asus,ROG Strix,3,Good,80,No,No,64,110000,0.1,80190,64152,57118,0,80190,84,Repair,16038,69034,57378,7.61
Laptop,Asus,ROG Strix,1,Good,80,No,No,81,110000,0.21,86900,69520,51420,0,86900,83,Repair,17380,69432,47104,-0.13
Laptop,Asus,ROG Strix,2,Good,80,No,No,47,110000,0.26,60236,48188,39588,0,60235,65,Repair,12047,51406,41351,6.68
Laptop,Asus,ROG Strix,3,Good,78,No,No,77,110000,0.29,39370,30708,23145,0,38385,90,Repair,7677,27753,20233,-9.62
Laptop,Asus,ROG Strix,3,Good,78,No,No,94,110000,0.2,56320,43929,38981,0,54911,87,Repair,10982,44913,36565,2.24
Laptop,Asus,ROG Strix,6,Good,77,No,No,42,110000,0.13,47698,36727,30967,0,45908,82,Repair,9181,36562,28982,-0.45
Laptop,Asus,ROG Strix,3,Good,76,No,No,90,110000,0.27,42791,32521,24987,0,40651,63,Repair,8130,30650,26139,-5.75
Laptop,Asus,ROG Strix,2,Average,75,No,No,43,110000,0.21,68651,51488,39763,0,64360,46,Repair,12872,47365,34758,-8.01
Laptop,Asus,ROG Strix,5,Average,72,No,No,43,110000,0.28,21284,15324,13618,0,19155,60,Repair,3831,14288,11969,-6.76
Laptop,Asus,ROG Strix,3,Average,71,No,No,96,110000,0.15,67553,47962,40973,0,59952,64,Repair,11990,49087,39831,2.35
Laptop,Asus,ROG Strix,6,Average,70,No,No,91,110000,0.25,19577,13703,11886,0,17128,68,Repair,3425,13090,12215,-4.47
Laptop,Asus,ROG Strix,1,Average,70,No,No,63,110000,0.27,80300,56210,45739,0,70262,95,Repair,14052,54624,44740,-2.82
Laptop,Asus,ROG Strix,5,Average,69,No,No,65,110000,0.23,29774,20544,15483,0,25680,94,Repair,5136,21978,13964,6.98
Laptop,Asus,ROG Strix,2,Average,64,No,Yes,90,110000,0.2,70400,45056,34346,3819,56320,42,Repair,7445,47547,32500,5.53
Laptop,Asus,ROG Strix,1,Average,64,No,Yes,53,110000,0.23,84700,54208,45428,1753,67760,56,Repair,11799,57863,40810,6.74
Laptop,Asus,ROG Strix,5,Average,63,No,Yes,46,110000,0.1,64953,40920,32622,1100,51150,75,Repair,9130,41469,28450,1.34
Laptop,Asus,ROG Strix,1,Average,63,No,Yes,43,110000,0.16,92400,58212,42697,3772,72765,61,Repair,10781,62844,37874,7.96
Laptop,Asus,ROG Strix,3,Average,63,No,Yes,47,110000,0.27,42791,26958,22323,3992,33697,76,Resell,2747,29039,21067,7.72
Laptop,Asus,ROG Strix,3,Average,61,No,Yes,55,110000,0.14,69966,42679,35168,3137,53348,84,Repair,7532,39730,34786,-6.91
Laptop,Asus,ROG Strix,6,Average,61,No,Yes,48,110000,0.26,18062,11017,8368,1694,13771,45,Resell,1060,11754,7780,6.69
Laptop,Asus,ROG Strix,4,Average,60,No,Yes,58,110000,0.28,29561,17736,14737,1656,22170,77,Resell,2778,16654,13306,-6.1
Laptop,Asus,ROG Strix,6,Average,60,No,Yes,80,110000,0.19,31067,18640,16623,3392,23300,66,Resell,1268,16857,17267,-9.57
Laptop,Asus,ROG Strix,3,Average,59,Yes,Yes,45,110000,0.17,62896,37108,27101,4779,46385,67,Repair,4498,38365,23992,3.39
Laptop,Asus,ROG Strix,2,Average,57,Yes,Yes,58,110000,0.27,58618,33412,29040,8666,41765,85,Resell,-313,35358,29375,5.82
Laptop,Asus,ROG Strix,3,Average,56,Yes,Yes,71,110000,0.19,58458,32736,25762,7210,40920,85,Resell,974,32960,25420,0.68
Laptop,Asus,ROG Strix,1,Poor,55,Yes,Yes,50,110000,0.24,83600,45980,40895,8094,57475,41,Repair,3401,47393,37555,3.07
Laptop,Asus,ROG Strix,1,Poor,54,Yes,Yes,49,110000,0.14,94600,51084,40306,8796,63855,82,Repair,3975,49427,38843,-3.24
Laptop,Asus,ROG Strix,1,Poor,54,Yes,Yes,67,110000,0.11,97900,52866,41323,7802,66082,51,Repair,5414,57005,40290,7.83
Laptop,Asus,ROG Strix,3,Poor,53,Yes,Yes,82,110000,0.12,74961,39729,29117,7211,49661,46,Resell,2721,40515,30396,1.98
Laptop,Asus,ROG Strix,3,Poor,52,Yes,Yes,73,110000,0.3,37729,19619,15249,7494,24523,77,Resell,-2590,18670,13826,-4.84
Laptop,Asus,ROG Strix,6,Poor,50,Yes,Yes,47,110000,0.13,47698,23849,19200,8298,29811,60,Resell,-2336,25329,18992,6.21
Laptop,Asus,ROG Strix,1,Poor,48,Yes,Yes,80,110000,0.12,96800,46464,33433,7087,58080,95,Repair,4529,48770,34500,4.96
Laptop,Asus,ROG Strix,1,Poor,48,Yes,Yes,99,110000,0.18,90200,43296,34067,5860,54120,50,Repair,4964,45109,29339,4.19
Laptop,Asus,ROG Strix,3,Poor,47,Yes,Yes,70,110000,0.29,39370,18503,13259,5306,23128,43,Resell,-681,17803,11707,-3.78
Laptop,Asus,ROG Strix,6,Poor,47,Yes,Yes,54,110000,0.13,47698,22418,18615,6524,28022,76,Resell,-920,21475,18579,-4.21
Laptop,Asus,ROG Strix,3,Poor,44,Yes,Yes,56,110000,0.23,50218,22095,16884,3662,27618,60,Resell,1861,23693,17208,7.23
Laptop,Asus,ROG Strix,4,Poor,44,Yes,Yes,83,110000,0.21,42845,18851,16247,5274,23563,94,Resell,-562,16968,16805,-9.99
Laptop,Asus,ROG Strix,6,Poor,44,Yes,Yes,55,110000,0.23,22926,10087,8179,5883,12608,81,Resell,-3362,10289,7555,2.0
Laptop,Asus,ROG Strix,4,Poor,42,Yes,Yes,79,110000,0.25,34804,14617,12642,7829,18271,49,Resell,-4175,16065,10836,9.91
Laptop,Asus,ROG Strix,1,Poor,42,Yes,Yes,82,110000,0.13,95700,40194,29406,8784,50242,47,Resell,1264,37042,26876,-7.84
Laptop,Asus,ROG Strix,5,Poor,41,Yes,Yes,100,110000,0.18,40781,16720,13558,9255,20900,71,Resell,-5075,17775,13374,6.31
Laptop,Asus,ROG Strix,6,Poor,41,Yes,Yes,50,110000,0.29,14091,5777,4804,7474,7221,86,Resell,-6030,6311,4212,9.24
Laptop,Asus,ROG Strix,2,Poor,40,Yes,Yes,71,110000,0.25,61875,24750,19087,5788,30937,47,Resell,399,25744,19449,4.02
Laptop,Asus,ROG Strix,4,Poor,40,Yes,Yes,52,110000,0.2,45056,18022,15615,4128,22527,88,Resell,377,18480,13437,2.54
Laptop,Asus,ROG Strix,4,Poor,37,Yes,Yes,56,110000,0.11,69016,25535,22186,7869,31918,43,Resell,-1486,25582,20712,0.18
Laptop,Asus,ROG Strix,3,Poor,36,Yes,Yes,92,110000,0.13,72435,26076,22199,8803,32595,58,Resell,-2284,24957,20070,-4.29
Laptop,Asus,ROG Strix,1,Poor,35,Yes,Yes,55,110000,0.28,79200,27720,19950,4670,34650,82,Resell,2260,30057,20865,8.43
Laptop,Asus,ROG Strix,1,Poor,35,Yes,Yes,99,110000,0.13,95700,33495,24772,5832,41868,85,Resell,2541,31733,22776,-5.26
Laptop,Asus,ROG Strix,6,Poor,34,Yes,Yes,73,110000,0.25,19577,6656,5814,6824,8320,68,Resell,-5160,6361,5633,-4.43
Laptop,Asus,ROG Strix,3,Poor,32,Yes,Yes,89,110000,0.23,50218,16069,11932,9346,20086,88,Resell,-5329,17038,11897,6.03
Laptop,Asus,ROG Strix,3,Poor,31,Yes,Yes,47,110000,0.11,77546,24039,19031,4193,30048,51,Resell,1816,25974,18245,8.05
Laptop,Dell,XPS 13,1,Good,95,No,No,54,120000,0.28,86400,82080,70803,0,102600,65,Repair,20520,79070,68035,-3.67
Laptop,Dell,XPS 13,5,Good,94,No,No,86,120000,0.17,47268,44431,32172,0,55538,63,Repair,11107,41495,32635,-6.61
Laptop,Dell,XPS 13,6,Good,94,No,No,40,120000,0.14,48548,45635,33284,0,57043,41,Repair,11408,44151,28688,-3.25
Laptop,Dell,XPS 13,3,Good,94,No,No,95,120000,0.16,71124,66856,58556,0,83570,76,Repair,16714,63429,59913,-5.13
Laptop,Dell,XPS 13,3,Good,93,No,No,74,120000,0.24,52677,48989,34530,0,61236,50,Repair,12247,46735,36243,-4.6
Laptop,Dell,XPS 13,3,Good,93,No,No,74,120000,0.24,52677,48989,36176,0,61236,77,Repair,12247,50556,36794,3.2
Laptop,Dell,XPS 13,1,Good,93,No,No,100,120000,0.15,102000,94860,67385,0,118575,51,Repair,23715,95214,57322,0.37
Laptop,Dell,XPS 13,4,Good,93,No,No,78,120000,0.13,68747,63934,49922,0,79917,55,Repair,15983,68189,51635,6.66
Laptop,Dell,XPS 13,6,Good,92,No,No,54,120000,0.12,55728,51269,35915,0,64086,84,Repair,12817,50483,34073,-1.53
Laptop,Dell,XPS 13,4,Good,91,No,No,78,120000,0.29,30494,27749,21964,0,34686,94,Repair,6937,28376,20570,2.26
Laptop,Dell,XPS 13,1,Good,91,No,No,64,120000,0.18,98400,89544,69714,0,111930,83,Repair,22386,93672,72848,4.61
Laptop,Dell,XPS 13,4,Good,91,No,No,72,120000,0.12,71963,65486,55824,0,81857,51,Repair,16371,67299,51970,2.77
Laptop,Dell,XPS 13,6,Good,90,No,No,49,120000,0.27,18160,16344,13128,0,20430,84,Repair,4086,16555,11464,1.29
Laptop,Dell,XPS 13,4,Good,90,No,No,60,120000,0.29,30494,27444,20073,0,34305,73,Repair,6861,25788,19075,-6.03
Laptop,Dell,XPS 13,5,Good,90,No,No,88,120000,0.26,26628,23965,17721,0,29956,55,Repair,5991,22922,16740,-4.35
Laptop,Dell,XPS 13,4,Good,89,No,No,91,120000,0.19,51656,45973,35780,0,57466,66,Repair,11493,48055,31552,4.53
Laptop,Dell,XPS 13,2,Good,89,No,No,90,120000,0.17,82668,73574,57716,0,91967,95,Repair,18393,69613,58031,-5.38
Laptop,Dell,XPS 13,3,Good,87,No,No,90,120000,0.26,48626,42304,33478,0,52880,90,Repair,10576,38667,33001,-8.6
Laptop,Dell,XPS 13,5,Good,86,No,No,45,120000,0.25,28476,24489,18578,0,30611,74,Repair,6122,24744,17092,1.04
Laptop,Dell,XPS 13,4,Good,86,No,No,96,120000,0.14,65640,56450,47158,0,70562,40,Repair,14112,51804,47004,-8.23
Laptop,Dell,XPS 13,5,Good,83,No,No,94,120000,0.15,53244,44192,39019,0,55240,91,Repair,11048,43422,37925,-1.74
Laptop,Dell,XPS 13,6,Good,83,No,No,78,120000,0.21,29170,24211,20426,0,30263,72,Repair,6052,26278,20182,8.54
Laptop,Dell,XPS 13,3,Good,82,No,No,53,120000,0.27,46682,38279,28523,0,47848,45,Repair,9569,41826,27888,9.27
Laptop,Dell,XPS 13,2,Good,82,No,No,53,120000,0.18,80688,66164,51987,0,82705,51,Repair,16541,64800,47610,-2.06
Laptop,Dell,XPS 13,5,Good,82,No,No,64,120000,0.23,32481,26634,20938,0,33292,86,Repair,6658,28897,20222,8.5
Laptop,Dell,XPS 13,5,Good,81,No,No,57,120000,0.24,30426,24645,19189,0,30806,71,Repair,6161,23866,18751,-3.16
Laptop,Dell,XPS 13,3,Good,81,No,No,100,120000,0.27,46682,37812,26756,0,47265,40,Repair,9453,35416,27574,-6.34
Laptop,Dell,XPS 13,1,Good,80,No,No,72,120000,0.1,108000,86400,68422,0,108000,73,Repair,21600,78628,60455,-9.0
Laptop,Dell,XPS 13,5,Good,79,No,No,72,120000,0.29,21650,17103,14854,0,21378,95,Repair,4275,17923,14853,4.79
Laptop,Dell,XPS 13,6,Good,79,No,No,84,120000,0.16,42155,33302,25457,0,41627,67,Repair,8325,35880,23420,7.74
Laptop,Dell,XPS 13,5,Good,79,No,No,64,120000,0.27,24876,19652,14536,0,24565,95,Repair,4913,17993,13563,-8.44
Laptop,Dell,XPS 13,1,Good,78,No,No,73,120000,0.22,93600,73008,61243,0,91260,59,Repair,18252,66599,53812,-8.78
Laptop,Dell,XPS 13,5,Good,78,No,No,56,120000,0.26,26628,20769,16896,0,25961,65,Repair,5192,20881,16205,0.54
Laptop,Dell,XPS 13,3,Good,77,No,No,78,120000,0.19,63772,49104,38192,0,61380,84,Repair,12276,52989,39071,7.91
Laptop,Dell,XPS 13,5,Average,75,No,No,69,120000,0.23,32481,24360,17557,0,30450,54,Repair,6090,24167,16001,-0.79
Laptop,Dell,XPS 13,6,Average,75,No,No,41,120000,0.15,45257,33942,28568,0,42427,70,Repair,8485,32394,29706,-4.56
Laptop,Dell,XPS 13,3,Average,74,No,No,87,120000,0.24,52677,38980,33499,0,48725,87,Repair,9745,39774,29113,2.04
Laptop,Dell,XPS 13,5,Average,74,No,No,78,120000,0.23,32481,24035,17062,0,30043,63,Repair,6008,22194,15326,-7.66
Laptop,Dell,XPS 13,4,Average,74,No,No,92,120000,0.29,30494,22565,18929,0,28206,62,Repair,5641,24140,19754,6.98
Laptop,Dell,XPS 13,5,Average,74,No,No,43,120000,0.27,24876,18408,14755,0,23010,66,Repair,4602,19057,15042,3.53
Laptop,Dell,XPS 13,4,Average,73,No,No,54,120000,0.15,62640,45727,33480,0,57158,76,Repair,11431,44695,28620,-2.26
Laptop,Dell,XPS 13,6,Average,71,No,No,78,120000,0.14,48548,34469,30750,0,43086,57,Repair,8617,32253,29754,-6.43
Laptop,Dell,XPS 13,1,Average,71,No,No,97,120000,0.12,105600,74976,53493,0,93720,51,Repair,18744,73279,50640,-2.26
Laptop,Dell,XPS 13,4,Average,69,No,No,65,120000,0.16,59744,41223,29141,0,51528,89,Repair,10305,40509,27585,-1.73
Laptop,Dell,XPS 13,5,Average,69,No,No,87,120000,0.1,70858,48892,35001,0,61115,87,Repair,12223,50248,36203,2.77
Laptop,Dell,XPS 13,2,Average,68,No,No,58,120000,0.17,82668,56214,39680,0,70267,65,Repair,14053,61558,34876,9.51
Laptop,Dell,XPS 13,6,Average,67,No,No,65,120000,0.24,23123,15492,13022,0,19365,74,Repair,3873,14109,13226,-8.93
Laptop,Dell,XPS 13,4,Average,66,No,No,55,120000,0.14,65640,43322,30583,0,54152,79,Repair,10830,42180,30503,-2.64
Laptop,Dell,XPS 13,1,Average,66,No,No,86,120000,0.16,100800,66528,54535,0,83160,72,Repair,16632,60270,55042,-9.41
Laptop,Dell,XPS 13,4,Average,62,No,Yes,76,120000,0.26,35983,22309,17423,2538,27886,53,Repair,3039,23741,14860,6.42
Laptop,Dell,XPS 13,6,Average,62,No,Yes,98,120000,0.27,18160,11259,8270,3965,14073,73,Resell,-1151,10393,7551,-7.69
Laptop,Dell,XPS 13,1,Average,62,No,Yes,82,120000,0.1,108000,66960,50096,1001,83700,52,Repair,15739,69611,51562,3.96
Laptop,Dell,XPS 13,4,Average,61,No,Yes,74,120000,0.17,56949,34738,27898,1223,43422,47,Repair,7461,35335,23817,1.72
Laptop,Dell,XPS 13,1,Average,60,No,Yes,83,120000,0.27,87600,52560,43004,1330,65700,56,Repair,11810,51848,43868,-1.35
Laptop,Dell,XPS 13,6,Average,60,No,Yes,67,120000,0.12,55728,33436,25762,3979,41795,77,Repair,4380,34697,24826,3.77
Laptop,Dell,XPS 13,2,Average,60,No,Yes,71,120000,0.27,63947,38368,29418,3084,47960,48,Repair,6508,41494,26597,8.15
Laptop,Dell,XPS 13,4,Average,60,No,Yes,40,120000,0.18,54254,32552,25883,1826,40690,74,Repair,6312,35119,25330,7.89
Laptop,Dell,XPS 13,4,Average,60,No,Yes,42,120000,0.22,44418,26650,19962,2243,33312,48,Repair,4419,25885,19858,-2.87
Laptop,Dell,XPS 13,3,Average,59,Yes,Yes,72,120000,0.23,54783,32321,26757,7221,40401,48,Resell,859,34782,26556,7.61
Laptop,Dell,XPS 13,2,Average,58,Yes,Yes,50,120000,0.11,95052,55130,43197,6419,68912,52,Repair,7363,60354,37370,9.48
Laptop,Dell,XPS 13,2,Average,58,Yes,Yes,79,120000,0.12,92928,53898,43480,5904,67372,58,Repair,7570,58958,40181,9.39
